talker_2	talker_1	phone_2	phone_1	by	score	n
29	31	dh	k	iy-ae	1.0	20
29	31	hh	dh	iy-ae	0.926666666667	300
29	31	hh	k	iy-ae	1.0	40
29	31	k	dh	iy-ae	0.883333333333	60
29	31	k	hh	iy-ae	0.445	200
29	32	dh	hh	iy-ae	0.875	480
29	32	dh	k	iy-ae	0.916666666667	48
29	32	hh	dh	iy-ae	0.416666666667	288
29	32	hh	k	iy-ae	0.96875	64
29	32	k	dh	iy-ae	0.875	144
29	32	k	hh	iy-ae	0.915625	320
29	33	dh	hh	iy-ae	0.688	250
29	33	dh	k	iy-ae	0.88	50
29	33	hh	dh	iy-ae	0.553333333333	150
29	33	hh	k	iy-ae	0.84	50
29	33	k	dh	iy-ae	0.833333333333	150
29	33	k	hh	iy-ae	0.732	250
30	1	dh	hh	iy-ae	0.578571428571	280
30	1	dh	k	iy-ae	1.0	48
30	1	hh	dh	iy-ae	0.361111111111	252
30	1	hh	k	iy-ae	0.964285714286	84
30	1	k	dh	iy-ae	0.4375	144
30	1	k	hh	iy-ae	0.703571428571	280
30	20	dh	hh	iy-ae	0.3125	320
30	20	dh	k	iy-ae	0.625	24
30	20	hh	dh	iy-ae	0.631944444444	288
30	20	hh	k	iy-ae	0.6875	48
30	20	k	dh	iy-ae	0.833333333333	72
30	20	k	hh	iy-ae	0.6875	160
30	23	dh	hh	iy-ae	0.866666666667	900
30	23	dh	k	iy-ae	0.916666666667	120
30	23	hh	dh	iy-ae	0.416049382716	810
30	23	hh	k	iy-ae	0.759259259259	108
30	23	k	dh	iy-ae	0.580555555556	360
30	23	k	hh	iy-ae	0.894444444444	360
30	24	dh	hh	iy-ae	0.64	600
30	24	dh	k	iy-ae	0.527777777778	36
30	24	hh	dh	iy-ae	0.405555555556	540
30	24	hh	k	iy-ae	0.416666666667	60
30	24	k	dh	iy-ae	0.731481481481	108
30	24	k	hh	iy-ae	0.745	200
30	25	dh	hh	iy-ae	0.855	400
30	25	dh	k	iy-ae	0.875	48
30	25	hh	dh	iy-ae	0.280555555556	360
30	25	hh	k	iy-ae	0.916666666667	120
30	25	k	dh	iy-ae	0.680555555556	144
30	25	k	hh	iy-ae	0.9625	400
30	26	dh	hh	iy-ae	0.1	70
30	26	dh	k	iy-ae	1.0	12
30	26	hh	dh	iy-ae	0.84126984127	63
30	26	hh	k	iy-ae	0.988095238095	84
30	26	k	dh	iy-ae	0.805555555556	36
30	26	k	hh	iy-ae	0.882142857143	280
30	27	dh	hh	iy-ae	0.3	100
30	27	dh	k	iy-ae	0.888888888889	18
30	27	hh	dh	iy-ae	0.9	90
30	27	hh	k	iy-ae	0.883333333333	180
30	27	k	dh	iy-ae	0.907407407407	54
30	27	k	hh	iy-ae	0.936666666667	600
30	29	dh	hh	iy-ae	0.828333333333	600
30	29	dh	k	iy-ae	1.0	36
30	29	hh	dh	iy-ae	0.372222222222	540
30	29	hh	k	iy-ae	1.0	60
30	29	k	dh	iy-ae	0.685185185185	108
30	29	k	hh	iy-ae	0.98	200
30	31	dh	hh	iy-ae	0.236	500
30	31	dh	k	iy-ae	0.866666666667	30
30	31	hh	dh	iy-ae	0.795555555556	450
30	31	hh	k	iy-ae	0.983333333333	60
30	31	k	dh	iy-ae	0.733333333333	90
30	31	k	hh	iy-ae	0.545	200
30	32	dh	hh	iy-ae	0.822916666667	480
30	32	dh	k	iy-ae	0.972222222222	72
30	32	hh	dh	iy-ae	0.384259259259	432
30	32	hh	k	iy-ae	0.947916666667	96
